District,Total_Population,Total_Pop_Citizenship,US_Born_Citizen,US_Territory_Born_Citizen,US_Born_Abroad_Citizen,Naturalized_Citizen,Non_Citizen,Total_Pop_Birth,Native_Born,Foreign_Born,Total_Foreign_Born,Entered_2010_Later,Entered_2000_2009,Entered_Before_2000,Pop_5Years_Over,English_Only,Spanish_Speaker,Indo_European_Lang,Asian_Pacific_Lang,Other_Languages,White_Alone,Black_Alone,Native_American_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,Hispanic_Latino,Total_Male,Male_Under_5,Male_5_9,Male_10_14,Male_15_17,Male_18_19,Male_20,Male_21,Male_22_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_61,Male_62_64,Male_65_66,Male_67_69,Male_70_74,Male_75_79,Male_80_84,Male_85_Over,Total_Female,Female_Under_5,Female_5_9,Female_10_14,Female_15_17,Female_18_19,Female_20,Female_21,Female_22_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_61,Female_62_64,Female_65_66,Female_67_69,Female_70_74,Female_75_79,Female_80_84,Female_85_Over,Median_Household_Income,Total_Households_Income,Income_Less_10000,Income_10000_14999,Income_15000_19999,Income_20000_24999,Income_25000_29999,Income_30000_34999,Income_35000_39999,Income_40000_44999,Income_45000_49999,Income_50000_59999,Income_60000_74999,Income_75000_99999,Income_100000_124999,Income_125000_149999,Income_150000_199999,Income_200000_Plus,Total_Pop_Poverty,Below_Poverty_Level,Pop_25_Over,No_Schooling,Nursery_School,Kindergarten,Grade_1,Grade_2,Grade_3,Grade_4,Grade_5,Grade_6,Grade_7,Grade_8,Grade_9,Grade_10,Grade_11,Grade_12_No_Diploma,High_School_Diploma,GED,Some_College_Less_1yr,Some_College_1yr_Plus,Associates_Degree,Bachelors_Degree,Masters_Degree,Professional_Degree,Doctorate_Degree,Total_Households,Family_Households,Married_Couple_Family,Other_Family,Nonfamily_Households,Living_Alone,Not_Living_Alone,In_Labor_Force,Civilian_Labor_Force,Employed,Unemployed,Total_Housing_Units,Owner_Occupied,Renter_Occupied,Workers_16_Over,Commute_Car,Commute_Public_Transit,Commute_Bicycle,Commute_Walk,Work_From_Home,Total_Households_Internet,Has_Internet,No_Internet,Year,Dist_clean
"Congressional District 4 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:04",704764,704764,474103,3480,8442,104126,114613,704764,486025,218739,230661,42471,43205,32418,,,,,,,219559,38477,18345,31735,509,226648,169491,452485,362273,15938,22133,24039,16888,11187,4208,5903,19128,24972,24771,24133,28953,23599,26005,23078,9376,10864,7894,8518,12086,7834,6102,4664,342491,17970,18342,24965,16809,12219,5178,4875,13867,20112,23915,22420,23515,23917,21614,19748,8077,11362,8226,7453,15208,9693,6947,6059,75442,247835,10774,6007,6447,10849,6357,10569,9597,11772,7255,20342,23257,28166,28574,17800,21030,29039,692229,88784,471115,25969,350,171,574,1726,3685,1661,1471,21726,1402,11722,6878,4533,10534,17167,113328,22884,27082,47818,29649,71868,35105,9095,4717,247835,174646,113494,61152,25348,35804,73189,375406,375108,353986,21122,247835,159104,88731,348005,248646,42971,2201,11497,39878,247835,227944,13722,2023,4
"Congressional District 5 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:05",754102,754102,593932,2518,6710,99163,51779,754102,603160,150942,160170,46979,33962,6591,717206.0,515406.0,54934.0,5143.0,626.0,3545.0,538787,23976,3787,78009,542,37646,71355,93785,363587,18458,20274,21748,12890,5085,3362,4300,12677,34512,36139,30169,23643,25801,22250,21305,8728,12787,6713,10575,11502,9815,5547,5307,390515,18438,21560,18748,12477,7257,2532,2501,19871,40157,35215,29917,27981,24649,21922,20964,7671,13372,7386,10697,17627,11461,8786,9326,107501,346882,12906,7678,7107,6979,6884,7330,6215,9253,8994,16607,29988,39505,38499,26750,40094,82093,744374,53917,551924,4837,74,30,0,0,468,116,456,1325,419,1372,1170,2441,1981,4892,56886,8619,22311,46035,28362,213238,111464,30595,14833,346882,173500,141013,32487,10255,22232,173382,461854,461768,448560,13208,346882,204788,142094,439947,221354,77358,4723,18719,110541,346882,322854,10384,2023,5
"Congressional District 6 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:06",725829,725829,600599,2749,7683,77579,37219,725829,611031,114798,125230,34693,20238,5244,,,,,,,536193,39913,1500,41518,138,38361,68206,118713,360759,21917,23302,22743,13031,7786,2770,3953,11112,24590,23580,25129,24724,21637,20128,22264,10065,14776,10140,14537,16947,13048,7431,5149,365070,17753,20332,18568,13643,7162,3686,2770,13084,21996,19109,21983,23462,20938,24316,23011,10723,18794,10877,13199,21987,14501,12426,10750,92820,298572,12737,7118,6727,6272,7256,10761,8075,8271,8909,17748,27294,37381,34649,22371,34885,48118,717733,53319,522217,9567,0,0,0,138,299,229,220,3138,330,4483,2744,3272,4612,9842,105407,11685,33488,56141,41556,143163,65974,15805,10124,298572,189540,145606,43934,14802,29132,109032,384730,384608,368386,16222,298572,230179,68393,360071,273979,19295,1731,5899,54028,298572,280515,12980,2023,6
"Congressional District 7 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:07",732352,732352,599750,2914,6114,50317,73257,732352,608778,123574,132602,53834,24896,10556,,,,,,,243437,285608,2450,68917,194,63912,67834,131223,355695,19094,18305,14275,10024,9860,4320,4203,20013,42300,34230,31827,26250,18269,22105,17823,7323,11130,5347,9870,13828,7251,4352,3696,376657,17527,17736,20419,10157,10198,4967,4120,18894,40201,30327,30568,28426,22401,21176,19154,9252,14002,9912,10558,15389,8768,6461,6044,81352,334019,29437,18865,7727,10069,10157,11812,8934,11446,8093,19387,23832,31871,32757,23449,31141,55042,716165,119314,528240,12745,325,135,524,253,543,647,642,4102,1810,3542,5510,7481,10386,11394,85249,12903,29631,53382,27068,139727,74821,32167,13253,334019,155169,92977,62192,16726,45466,178850,428655,428655,394953,33702,334019,143992,190027,386184,184252,67606,8206,44016,74296,334019,296929,18797,2023,7
"Congressional District 8 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:08",730604,730604,507104,1573,8270,117221,96436,730604,516947,213657,223500,71305,45813,18333,692872.0,390037.0,150317.0,2914.0,180.0,4407.0,402326,33338,8127,97118,447,82978,106270,196051,365661,19732,24029,22995,17286,8316,3607,3880,14156,22044,26508,23308,28398,25153,24439,20276,10127,13398,11749,11601,15455,8507,6441,4256,364943,18000,20516,22931,13805,7186,3275,3753,13334,19853,23870,24650,26798,26300,22558,23892,9974,16219,8450,13262,18114,13512,8101,6590,94702,280622,11188,5030,6499,4393,8230,8166,4987,9352,8494,15576,27031,39845,34684,25432,35592,36123,725475,55852,513803,13113,281,654,44,572,2064,938,2301,6040,1644,3232,5510,4563,3650,14151,106343,17425,31791,54665,33974,134219,63194,8456,4979,280622,194658,148453,46205,15210,30995,85964,410020,409448,395286,14162,280622,202843,77779,389369,321307,9387,702,4051,48514,280622,264843,11458,2023,8
"Congressional District 9 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:09",742949,742949,534528,1164,9880,120928,76449,742949,545572,197377,208421,66574,39219,7831,705989.0,454818.0,73036.0,1617.0,167.0,3239.0,443844,62256,3883,110619,292,48260,73795,105045,360679,17990,18692,19595,14605,9541,3847,3142,14785,21788,24862,29102,23941,24373,24298,24181,8910,15711,7350,14373,16252,10634,6090,6617,382270,18970,21563,20214,12629,10310,4507,3642,13011,23645,26578,26446,24764,21276,24259,23980,10140,14588,10922,12787,21104,14107,11120,11708,90087,312197,15685,8573,8880,7665,8070,8971,9948,8467,10312,21203,23474,38748,30683,23665,31678,56175,721776,81134,535906,8149,0,352,702,372,349,166,677,4134,350,4548,3356,2773,2869,7185,72722,11939,24918,52859,29402,170353,99489,21426,16816,312197,180295,141167,39128,11809,27319,131902,410351,410351,393399,16952,312197,191363,120834,384685,232948,51177,3624,16757,74586,312197,292339,8793,2023,9
"Congressional District 10 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:10",746076,746076,574876,2808,10750,77256,80386,746076,588434,157642,171200,52728,31646,17588,706184.0,472108.0,142569.0,3031.0,199.0,1561.0,444572,44659,6706,63886,842,86359,99052,191228,376017,19157,24887,28040,15462,12521,5559,5039,16407,23024,23298,22681,25570,24045,25768,23483,9208,13764,9203,10172,14947,12031,5814,5937,370059,20735,23917,24754,17125,9148,4098,3444,14771,21272,20882,23572,24433,22456,23595,24726,9712,13337,9205,12458,16638,14072,7643,8066,105666,273906,9971,5422,5992,6704,7064,5137,5547,8409,6045,15305,22258,31201,31881,21533,32628,58809,727269,60547,501012,12757,258,175,0,128,475,41,1246,6598,1243,1899,2861,3272,3347,11554,85791,17446,30330,56091,30747,130047,76024,18568,10114,273906,192875,152484,40391,13582,26809,81031,404494,393070,375777,17293,273906,209050,64856,379178,280731,13994,368,7739,69923,273906,259709,10577,2023,10
"Congressional District 11 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:11",761048,761048,634607,1404,5660,63689,55688,761048,641671,119377,126441,35273,24787,11970,719883.0,543770.0,99251.0,1253.0,0.0,969.0,492294,41829,4495,67356,431,54460,100183,151767,378911,21608,26450,23760,17338,10247,4882,4790,14469,23976,22479,23412,24377,25466,24349,30553,11833,14188,7314,10476,15688,9724,6894,4638,382137,19557,23081,28072,16774,10001,3706,3382,14602,20847,24301,25329,23473,23804,26576,27411,10956,14363,8043,11475,16796,12588,8108,8892,105915,283965,9623,6695,3540,6370,6184,5223,5220,10001,9255,12690,25840,33319,32380,25681,37429,54515,752688,53885,518329,8898,107,83,58,132,462,99,623,4076,330,1976,3469,3552,4618,9376,93260,16742,32577,59452,38764,144499,71436,14894,8846,283965,201922,157787,44135,16938,27197,82043,421930,421167,407143,14024,283965,216419,67546,402624,303897,12745,1117,6389,73451,283965,269979,8608,2023,11
"Congressional District 12 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:12",749426,749426,731381,768,4176,6428,6673,749426,736325,13101,18045,6187,2058,317,,,,,,,655250,40221,1117,6392,41,7715,38690,23054,379559,19998,24399,23689,13445,8842,4340,5026,14615,22384,23204,27072,23985,23919,23400,22550,12370,16337,10525,12372,20083,12328,8316,6360,369867,17876,23223,22301,15523,8269,3618,3613,12435,18742,20722,23002,23867,22635,21056,24076,9183,17959,9476,16466,19303,14849,11351,10322,65076,306758,18479,13142,13096,13728,10521,14428,12228,12718,11156,21735,33914,39659,29872,19112,22676,20294,720768,99447,528214,5808,77,146,318,68,143,243,381,771,394,6042,3759,9028,10640,8446,132043,31045,46109,74410,72686,74946,39319,5793,5599,306758,196981,151786,45195,14072,31123,109777,352359,348670,334813,13857,306758,227638,79120,332412,293281,1243,722,5744,27494,306758,268306,29481,2023,12
"Congressional District 13 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:13",725183,725183,674833,946,4876,16865,27663,725183,680655,44528,50350,27415,5939,1758,,,,,,,483457,137911,2282,29995,591,12993,57954,33430,350766,17075,21173,20637,14129,13980,7468,7169,20092,23073,23558,17827,23145,19617,20457,19051,9662,13885,8427,12041,16706,8826,7395,5373,374417,18877,19127,17613,13619,12470,5496,8087,20349,24723,24711,22818,23852,20681,20598,21717,8705,15055,9334,14170,20145,12003,10208,10059,59299,319582,26463,14029,12950,15562,14429,13869,14778,15029,11295,22444,28900,40338,28177,20071,21468,19780,696470,111670,487822,6788,0,162,69,10,139,0,0,903,353,1968,2581,5621,7345,5077,120887,24206,37705,65824,45352,94005,49384,9793,9650,319582,171973,117985,53988,13874,40114,147609,360729,357609,341437,16172,319582,200289,119293,338736,282349,6440,1801,10163,35167,319582,293465,16108,2023,13
"Congressional District 14 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:14",755370,755370,647648,2234,5236,48475,51777,755370,655118,100252,107722,31702,23700,12440,715118.0,539679.0,114703.0,1182.0,0.0,1674.0,455192,71993,5996,44783,36,60396,116974,180909,380471,20611,24474,27670,18911,11323,5071,6720,16916,21020,23926,26178,29214,25597,26114,24070,7578,13170,7188,11242,14098,10363,5222,3795,374899,19641,24752,23334,16032,10385,6494,3925,17701,22046,22862,26492,26669,24878,26348,20486,9001,14037,7476,11261,14891,11578,5118,9492,91558,270841,11604,5501,6279,5190,5676,8726,7617,7885,5639,18863,28161,37980,31005,25689,29936,35090,739364,62947,501410,9845,509,0,173,460,637,172,880,7368,476,2953,3421,5093,6856,9906,115625,19040,41289,64721,43919,106640,47505,7098,6824,270841,188951,141615,47336,16777,30559,81890,410765,410516,392872,17644,270841,207143,63698,384472,321629,6747,340,3582,46702,270841,253613,12071,2023,14
"Congressional District 15 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:15",745893,745893,724733,707,3865,8334,8254,745893,729305,16588,21160,8582,2757,799,,,,,,,677558,18635,1147,7014,138,8085,33316,22696,373771,20243,24199,23722,15525,9352,4307,4065,13097,22017,22625,21484,27970,20937,23099,23877,10377,16447,10512,13157,19455,12999,8194,6111,372122,18408,20453,24024,15078,7275,3776,5466,11330,19740,21452,23157,22371,21412,21787,23112,10529,17491,10629,13907,21496,14586,12162,12481,70766,307990,15671,11021,8724,11196,9025,13357,13036,12732,12298,23115,32008,40999,38122,22219,23819,20648,720420,79106,525573,3844,213,0,42,0,149,232,9,1228,770,5323,2670,5797,7249,6730,156266,27505,43989,67803,59204,91017,35268,6253,4012,307990,197922,155398,42524,14195,28329,110068,364322,364013,351458,12555,307990,236456,71534,346714,300761,841,1253,9978,30909,307990,277053,23616,2023,15
"Congressional District 16 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:16",755171,755171,714821,726,4766,18176,16682,755171,720313,34858,40350,11627,9189,2066,,,,,,,646243,17300,2508,19494,67,18443,51116,58626,376639,19381,24142,27086,16588,8477,5509,3116,13499,20630,22494,22254,25122,22835,24883,24962,10330,14771,10606,12527,20413,13387,8419,5208,378532,20553,23638,22776,17174,6693,4686,4587,11491,19741,21311,23374,24514,21936,23659,24537,10341,17261,10438,15576,19627,13578,9674,11367,80425,304873,11930,7801,8162,7481,8844,12044,10728,10361,9662,21922,33086,41408,35982,24680,30134,30648,744400,57174,525775,4622,73,96,0,0,140,74,467,566,741,2489,2321,4614,7249,7752,133595,21609,44164,70724,56723,106583,45350,9970,5853,304873,204105,161104,43001,14175,28826,100768,388020,387807,373526,14281,304873,242471,62402,369068,319276,1254,1142,4521,39818,304873,279030,16711,2023,16
"Congressional District 17 (118th Congress), Illinois: Summary level: 500, state:17> congressional district:17",728697,728697,679078,625,3280,20156,25558,728697,682983,45714,49619,19450,10428,4210,,,,,,,511416,92484,6378,14498,564,27078,76279,85307,356055,19621,22721,20983,12895,12367,5898,5149,17649,22232,24108,22101,22103,19290,21418,20891,9160,13481,7689,13267,17105,12275,7511,6141,372642,21200,20681,23037,13403,13188,6338,8380,14855,21621,23075,21449,20770,19292,20904,22271,8587,15535,9392,14638,18193,14420,10423,10990,57307,317835,26560,17409,11376,16494,12026,14198,11781,16003,15592,21826,33497,44051,27029,18421,17847,13725,692693,124050,490332,8540,71,166,0,281,162,359,89,1628,651,2870,5860,6310,10291,9594,131339,29349,46232,67317,48837,75990,33210,5835,5351,317835,176399,119178,57221,15949,41272,141436,363075,362600,344367,18233,317835,210975,106860,338152,289848,3980,1484,9832,29831,317835,282419,22312,2023,17
